Course,Daytime/evening attendance,Previous qualification,Mjob,Fjob,Educational special needs,Debtor,Tuition fees up to date,sex,Scholarship holder,age,G1,G2,Target,famsize,Pstatus,guardian,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,health,absences,G3
2.0,1.0,1.0,6.0,10.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
11.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,19.0,14.0,13.666666666666666,0.0,1.0,1.0,0.0,2.8,0.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,6.2,14.2
5.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,1.2,1.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,0.0,0.0
15.0,1.0,1.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,13.428571428571429,12.4,0.0,1.0,1.0,0.0,2.4,0.6,1.0,0.0,1.0,1.0,0.0,0.0,3.6,3.2,15.4,12.2
3.0,0.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,45.0,12.333333333333334,13.0,0.0,1.0,1.0,0.0,1.6,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.8,10.4,8.4
17.0,0.0,12.0,10.0,8.0,0.0,1.0,1.0,1.0,0.0,50.0,11.857142857142858,11.5,0.0,1.0,1.0,0.0,1.6,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.6,2.8,10.4,8.4
12.0,1.0,1.0,8.0,11.0,0.0,0.0,1.0,0.0,1.0,18.0,13.3,14.345,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.6,4.6,14.0
11.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,1.0,1.0,1.0,0.0,1.4,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.2,1.6,1.0
10.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,21.0,13.875,14.142857142857142,0.0,1.0,1.0,0.0,2.2,1.2,1.0,0.0,1.0,1.0,0.0,0.0,4.2,3.6,7.6,13.8
10.0,1.0,1.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,18.0,11.4,13.5,1.0,1.0,1.0,0.0,1.6,0.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.4,13.6
