Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,5,Animation and Multimedia Design,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,15,1,Tourism,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.67,0,13.9,-0.3,0.79,Graduate
1,1,5,Communication Design,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,17,2,Journalism and Communication,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.43,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
2,39,1,Social Service (evening attendance),0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.33,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
2,39,1,Equiniculture,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.86,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
1,1,1,Nursing,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.34,0,15.5,2.8,-4.06,Graduate
1,18,4,Tourism,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
1,1,3,Social Service,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.88,0,0,6,7,6,14.14,0,16.2,0.3,-0.92,Graduate
1,1,1,Social Service,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
1,1,1,Management (evening attendance),1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.33,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
1,1,1,Nursing,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.21,0,0,8,8,7,13.21,0,12.7,3.7,-1.7,Graduate
1,1,2,Basic Education,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,53,1,Tourism,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.57,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
1,1,1,Veterinary Nursing,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
1,1,1,Journalism and Communication,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
1,18,1,Social Service,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
1,17,2,Nursing,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.31,0,0,8,8,8,14.54,0,15.5,2.8,-4.06,Graduate
1,1,1,Journalism and Communication,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
1,1,1,Basic Education,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.67,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
1,1,3,Animation and Multimedia Design,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
1,18,4,Oral Hygiene,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.44,0,0,8,9,8,11.42,0,12.7,3.7,-1.7,Enrolled
1,1,4,Nursing,1,1,142.0,1,19,19,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.86,0,0,8,12,7,12.86,0,12.7,3.7,-1.7,Graduate
1,1,4,Management (evening attendance),1,1,125.0,1,1,38,4,7,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.38,0,0,6,7,6,12.29,0,11.1,0.6,2.02,Graduate
1,1,1,Nursing,1,1,126.0,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.3,0,0,8,9,7,14.11,0,11.1,0.6,2.02,Graduate
1,1,1,Social Service,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
1,17,2,Social Service,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.38,0,0,6,9,6,13.29,0,16.2,0.3,-0.92,Graduate
1,1,1,Veterinary Nursing,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.67,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
1,1,1,Management,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.33,0,16.2,0.3,-0.92,Graduate
1,17,2,Nursing,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.93,0,0,7,7,6,13.72,0,16.2,0.3,-0.92,Enrolled
1,44,1,Agronomy,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.86,0,0,6,17,5,10.57,0,16.2,0.3,-0.92,Enrolled
1,51,1,Communication Design,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.83,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
1,1,1,Management,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.33,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
